Headline,Date,Price movement
EVENING 5: Five things you need to know today,31/12/2020,Down
KLCI retreats on profit taking on final trading day of 2020,31/12/2020,Down
Cover Story: Delicate balancing act in a tough Covid-19 environment,31/12/2020,Down
These are the top gainers and losers on Bursa in 2020,31/12/2020,Down
EVENING 5: Five things you need to know today,30/12/2020,Up
"Top Glove founder bumps up stake to 34.8%, share price up in morning trading",30/12/2020,Up
EVENING 5: TNB gets OK to challenge tax claim,30/12/2020,Up
Top Glove rises as much as 3.7% on resuming trade,30/12/2020,Up
"KLCI reverses loss, edges higher as regional markets pause",30/12/2020,Up
Trading of Top Glove securities halted until 10am,30/12/2020,Up
EVENING 5: Five things you need to know today,29/12/2020,Up
"KLCI ends 0.54% lower, weighed down by glove makers",29/12/2020,Up
No year-end party for glove bulls,29/12/2020,Up
"Insider Moves: Chemical Company of Malaysia Bhd, EA Holdings Bhd, MQ Technology Bhd, SMTrack Bhd, Top Glove Corp Bhd, Ho Wah Genting Bhd, MISC Bhd",29/12/2020,Up
"KLCI bucks regional trend, retreats on mild profit-taking activity",29/12/2020,Up
Property outlook still challenging with some bright spots emerging — AmInvestment,29/12/2020,Up
EVENING 5: Five things you need to know today,28/12/2020,Down
"FBM KLCI closes higher on better-than-expected November exports data, US fiscal stimulus",28/12/2020,Down
KLCI pares gains as index-linked glovemakers retreat on vaccine rollout,28/12/2020,Down
Kenanga cuts Top Glove target price to RM8.50 on ESG concerns,28/12/2020,Down
Glove stocks in the red on EU vaccine roll-out,28/12/2020,Down
KLCI rises 0.67% in line with regional markets as Trump said to have signed aid bill,28/12/2020,Down
"Supermax, Yinson, MTD ACPI, TM, KTG, Komarkcorp, WCT, Johan, Wegmans, Lambo, Cymao",24/12/2020,Down
KLCI closes lower as investors take profit ahead of extended weekend,24/12/2020,Down
"Supermax is KLCI's top percentage gainer year-to-date, followed by Top Glove",24/12/2020,Down
EVENING 5: Five things you need to know today,23/12/2020,Down
Bursa Malaysia higher at midday as sentiment turns positive,23/12/2020,Down
"KLCI drops 0.97% on Covid-19 fears, continued profit taking",22/12/2020,Up
Jiankun to invest RM50m in nitrile rubber production venture,22/12/2020,Up
ESG concerns take some shine off Top Glove,22/12/2020,Up
Analysts mixed over Supermax’s venture into US,22/12/2020,Up
More Covid-19 infections detected on factory floors,22/12/2020,Up
"Mah Sing, Panasonic, Bintai Kinden, KAB, Puncak Niaga, Greatech, RHB, Yi-lai, Supermax, Karex, ATA IMS, Fintec Global, Aeon Credit, Gamuda, Versatile Creative and Deleum",22/12/2020,Up
Mah Sing shareholders give nod to rubber glove venture,21/12/2020,Up
"CCM, NWP, Pecca, Reservoir Link, Bermaz Auto, Pegasus Heights, Hai-O, PCCS, Gas Malaysia, PLS Plantation, Fintec, NetX, Puncak Niaga and NTPM",19/12/2020,#N/A
EVENING 5: Five things you need to know today,18/12/2020,Down
"External auditor of DGB Asia, SMTrack, Inix resigns on same day",18/12/2020,Down
PublicInvest Research downgrades Top Glove to 'neutral' on ESG concerns,18/12/2020,Down
"Growing bullishness among retail investors as net buy flows rose 72% week-on-week in Dec 7-11 — highest since March, says CGS-CIMB",17/12/2020,Down
Cover Story: ESG becoming mainstream,17/12/2020,Down
Cover Story: Time to fix Malaysia’s foreign worker issues,17/12/2020,Down
CGS-CIMB: Sectors to watch out for come 2021,17/12/2020,Down
Mah Sing rises in brisk morning trade on news of possible HK listing of manufacturing arm,17/12/2020,Down
"Komarkcorp, Kossan Rubber, Supermax, Ocean Vantage, Konsortium Transnasional, G Capital, Lion Industries, Daibochi, Mah Sing and OKA Corp",17/12/2020,Down
Covid-19: MoH identifies eight new clusters — three in KL and one in Selangor — with 182 infected,16/12/2020,Down
EVENING 5: Five things you need to know today,16/12/2020,Down
"FBM KLCI rides on overnight Wall Street gains, December window dressing",16/12/2020,Down
"Covid-19: Malaysia confirms 1,295 new cases, Selangor tops list with most infections",16/12/2020,Down
Supermax founder WhatsApp-ed these emojis ahead of glove maker’s first KLCI trade,16/12/2020,Down
"Kossan says 427 employees tested positive for Covid-19, impacting less than 2% of bottom line",16/12/2020,Down
Riverstone to reap short-term benefits from pandemic without neglecting long-term growth,16/12/2020,Down
Malaysian stocks extend gains on budget approval; Asia FX await Fed,16/12/2020,Down
Energy bucks Bursa rise; CGS-CIMB ups end-2021 KLCI target,16/12/2020,Down
"AmInvestment Bank sees KLCI hitting 1,770 points at end-2021",16/12/2020,Down
"After vaccine-driven drop, gloves lead gainers on value trade",16/12/2020,Down
Frankly Speaking: Timely retail boost,16/12/2020,Down
"TA Enterprise, Widad, Top Glove, Guocoland, F&N, George Kent, United Malacca, Econpile, Deleum, Uzma and Apollo Food",16/12/2020,Down
"Top Glove, its chairman and Tropicana mop up more shares, while EPF continues selling",15/12/2020,Up
"KLCI bucks regional trends, closes 0.68% higher after Budget 2021 passes final Dewan Rakyat vote",15/12/2020,Up
"Insider Moves: Bina Puri Holdings Bhd, Vortex Consolidated Bhd, Sealink International Bhd, Widad Group Bhd, Top Glove Corp Bhd, Iris Corp Bhd, GDB Holdings Bhd",15/12/2020,Up
Higher CPO prices seen as stock levels expected to fall further,15/12/2020,Up
Glove stocks recoup some losses after yesterday's selldown,15/12/2020,Up
"Sentiment on glove makers take a U-turn amid factory infections, sector downgrade and vaccine roll-out",15/12/2020,Up
"AAX, RHB Bank, Deleum, Hartalega, Top Glove, Luxchem, Ivory Properties, Ta Win and Bina Darulaman",15/12/2020,Up
Top Glove resumes buyback of own shares today,15/12/2020,Up
Top Glove's executive director and EPF trim their stakes further,14/12/2020,Up
"Malaysia reports 1,371 new Covid-19 cases, including 532 in Selangor",14/12/2020,Up
EVENING 5: Five things you need to know today,14/12/2020,Up
KLCI snaps five-day gaining spree amid political concerns,14/12/2020,Up
"Hartalega says 35 of its 8,772 employees tested positive for Covid-19",14/12/2020,Up
"After a bad patch, more hits than misses in 3Q earnings",14/12/2020,Up
"Foreign investors sold RM574.5m in equities last week, says MIDF Research",14/12/2020,Up
Glove makers dominate list of top losers as vaccine roll-out begins,14/12/2020,Up
"In rare media rebuke, Top Glove demands accurate reporting amid Covid-19 flare",13/12/2020,#N/A
Here's what Top Glove has to say about sustaining its super profits,12/12/2020,#N/A
Highest returns to shareholders over three years: SUPER BIG CAP (ABOVE RM40 BILLION MARKET CAPITALISATION): Top Glove Corp Bhd - Analysts still positive on prospects despite vaccine development,12/12/2020,#N/A
Recognising corporate excellence for the 11th year,12/12/2020,#N/A
"JP Morgan pegs these glove makers’ fair value at up to half their market price, says supernormal cycle is over",12/12/2020,#N/A
KLCI closes higher as banking stocks rally amid vaccine-fuelled optimism,11/12/2020,Down
Reprieve for stocks as Covid-19 vaccines spur recovery bets,11/12/2020,Down
"Cymao, AirAsia, Bermaz Auto, Poh Kong, BIMB, Top Glove, UMW, KUB, BLand and 7-Eleven",11/12/2020,Down
Berjaya Land spends RM11m to mop up 7-Eleven shares,10/12/2020,Down
Top Glove chairman’s turn to buy company shares,10/12/2020,Down
EVENING 5: Five things you need to know today,10/12/2020,Down
"Covid-19: Malaysia hits new record high with 2,234 cases, with 1,428 from Selangor",10/12/2020,Down
FBM KLCI posts third straight day of gains,10/12/2020,Down
ESG issues weigh on Top Glove’s valuations,10/12/2020,Down
Cover Story: What’s next for Budget 2021 after being passed at the policy stage?,10/12/2020,Down
Analysts raise Top Glove earnings forecasts but maintain TPs,10/12/2020,Down
Top Glove makes the highest quarterly profit among Malaysia's top 10 companies,10/12/2020,Down
Top Glove: Average glove prices to be 30% higher in 2Q,10/12/2020,Down
"TH Plantations, AirAsia, MRCB, Top Glove, KPower, MyEG, Public Bank, G Capital, Cymao and AWC",09/12/2020,Up
EVENING 5: Five things you need to know today,09/12/2020,Up
Public Bank leads charge among KLCI counters,09/12/2020,Up
Top Glove shares fail to rise despite record quarterly earnings,09/12/2020,Up
"Top Glove 1Q net profit surges to RM2.38b, declares 16.5 sen dividend",09/12/2020,Up
EVENING 5: Another bumper quarter for Top Glove,09/12/2020,Up
